"REFFABRICANTE";"TITULO";"CODIGOINTERNO";"EAN/UPC";"CODFAMILIA";"TITULOFAMILIA";"CODSUBFAMILIA";"TITULOSUBFAMILIA";"CODFABRICANTE";"NOMFABRICANTE";PRECIO;"STOCK";PESO;"PROXIMA_LLEGADA";"CICLOVIDA";"PLAZOENTREGA"
"XONE110198";"X-One Elite Cover iPhone 6 Plus Azul";"AATFYC0790";"8435484110198";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,66;10;0,1000000000;"";"Novedad";"0,0000000000"
"XONE110204";"X-One Elite Cover iPhone 6 Plus Blanco";"AATFYC0791";"8435484110204";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,66;10;0,1000000000;"";"Novedad";"0,0000000000"
"XONE110211";"X-One Elite Cover iPhone 6 Plus Amarillo";"AATFYC0792";"8435484110211";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,66;10;0,1000000000;"";"Novedad";"0,0000000000"
"XONE110310";"X-One TPU Fino iPhone 6 Plus Transparente";"AATFYC0793";"8435484110310";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,44;0;0,1000000000;"";"Proximamente";"0,0000000000"
"XONE110563";"X-One TPU X-Line Huawei G7 Transparente";"AATFYC0794";"8435484110563";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;6;0,1000000000;"";"Novedad";"0,0000000000"
"XONE110587";"X-One TPU X-Line Huawei G7 Azul";"AATFYC0795";"8435484110587";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;13;0,1000000000;"";"Novedad";"0,0000000000"
"XONE110778";"X-One Elite Cover Samsung Core 2 Negro";"AATFYC0796";"8435484110778";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;8;0,1000000000;"";"Novedad";"0,0000000000"
"XONE111218";"X-One Sport Cover iPhone 6 Plus Marron";"AATFYC0797";"8435484111218";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;12;0,1000000000;"";"Novedad";"0,0000000000"
"XONE111232";"X-One Sport Cover Samsung Note 4 Negro";"AATFYC0798";"8435484111232";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;15;0,1000000000;"";"Novedad";"0,0000000000"
"XONE111256";"X-One Sport Cover Samsung Note 4 Marron";"AATFYC0799";"8435484111256";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,93;18;0,1000000000;"";"Novedad";"0,0000000000"
"XONE111539";"X-One TPU Fresh iPhone 6 Naranja";"AATFYC0800";"8435484111539";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,80;6;0,1000000000;"";"Novedad";"0,0000000000"
"XONE111546";"X-One TPU Fresh iPhone 6 Verde";"AATFYC0801";"8435484111546";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,80;5;0,1000000000;"";"Novedad";"0,0000000000"
"XONE111560";"X-One TPU Fresh iPhone 6 Plus Negro";"AATFYC0802";"8435484111560";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,80;17;0,1000000000;"";"Novedad";"0,0000000000"
"XONE111591";"X-One TPU Fresh iPhone 6 Plus Verde";"AATFYC0803";"8435484111591";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,80;21;0,1000000000;"";"Novedad";"0,0000000000"
"XONE111607";"X-One TPU Fresh iPhone 6 Plus Rojo";"AATFYC0804";"8435484111607";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,80;23;0,1000000000;"";"Novedad";"0,0000000000"
"XONE111614";"X-One TPU Fresh iPhone 6 Plus Blanco";"AATFYC0805";"8435484111614";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,80;23;0,1000000000;"";"Novedad";"0,0000000000"
"XONE111621";"X-One TPU Fresh iPhone 5 / SE Naranja";"AATFYC0806";"8435484111621";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,80;5;0,1000000000;"";"Novedad";"0,0000000000"
"XONE112086";"X-One Card Cover BQ E5 4G Rosa";"AATFYC0807";"8435484112086";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,07;9;0,1000000000;"";"Novedad";"0,0000000000"
"XONE112093";"X-One Card Cover BQ E5 4G Azul";"AATFYC0808";"8435484112093";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,07;14;0,1000000000;"";"Novedad";"0,0000000000"
